Foreign highly skilled personnel ,Total expenditure on R&D (%) ,Scientific research legislation ,Mobile broadband subscribers ,EParticipation ,Use of big data and analytics ,Total public exp. on education per student ,Health infrastructure ,Skilled labor ,Gross Domestic Product (GDP) ,GDP (PPP) per capita ,Exports of goods  growth ,Government budget surplus/deficit (%) ,Tax evasion ,Digital/Technological skills
0.5245645791819411,-0.5611940298507463,1.0832409692291836,1.0230392883617496,0.713692946058091,1.13054455930283,2.309253059089128,0.7385159010600709,-0.0138309242671008,0.0822996682877783,0.3900928008213183,1.715123070311836,-0.8369015181004283,1.102486998005709,0.708585718255072
0.3541503779985089,-0.5412935323383085,0.6727557489280125,1.443617494440326,0.921161825726141,0.8662521506805246,2.472462871531278,0.2614840989399294,0.6311202157980452,0.1360743705655864,0.7459037081971297,0.0080311693466663,-0.3036200856364345,0.1837954092206616,0.2380939149763827
0.1482332182351953,-0.5412935323383085,0.5612108521070419,1.245544848035582,0.1908713692946055,0.9337310635202622,3.0484711853413087,0.308833922261484,0.7353547434853417,0.2149464728441563,0.589873951509831,-0.227806010678512,-0.4826780848579214,-0.8236812262933568,-0.0766601833842726
-0.5144886752559287,-0.5512437810945273,0.070413306094772,1.245544848035582,0.1908713692946055,-0.0690805578480602,3.048471185341308,-0.3335689045936395,-1.1408667548859934,0.2381396695064686,1.0966986973221446,-1.1073695860037325,-0.5216037368625925,-1.2021858991905532,-0.7094470686301746
-0.5630093853151001,-0.5114427860696517,0.0871450406179177,1.245544848035582,0.0497925311203319,0.0846214102868972,2.777281267335234,-1.098939929328622,0.5268856881107493,0.1793759544819233,0.9649374658750868,-0.1438781886054948,-0.3970416504476451,-1.1180737496578428,-0.1143651014170597
-0.6245478468535618,-0.5213930348258706,-0.2039871400848152,-0.1024759080800594,-0.7385892116182573,-0.2546475681573389,-0.2079383629148526,-0.9469964664310956,0.6636935057003258,0.1819656710222144,-0.9342140342951524,-0.0482004714422551,-0.1012066952121449,-1.2676064599382166,-0.0323978883023058
-0.4422993261435026,-0.5412935323383085,-0.1024812839777323,-0.0790511489992588,-0.3817427385892117,-0.0072248877449676,0.0075018405430802,-0.6501766784452297,1.0871462744299671,0.1234304603982831,-0.9493971048341,-1.0654056749672238,0.221876216426625,-1.3003167403120486,-0.278299527646568
-1.834015302474864,-0.5512437810945273,-0.7728661138717646,-0.0790511489992588,-0.4481327800829877,-0.4458378212032618,-0.2552669517371337,-1.2508833922261484,0.7353547434853417,-0.4068140012263069,-0.9585951451110866,0.1515477450915257,-0.8641494745036981,-1.4311578618073757,0.0905529313698255
-1.6801691486287105,-0.5213930348258706,-0.7427489917301024,-0.4686730911786508,-0.6141078838174275,-0.2209081117374697,0.0,-1.049469964664311,0.7158107695439735,-0.3172021921188832,-0.899324344482028,0.2917072079534646,0.0583884780070065,-1.2535877683494316,0.246290636287858
-1.5736602728890654,-0.5014925373134328,-0.9156435818026066,-1.0377464788732396,-0.1825726141078837,-0.4720796206409371,0.1263760673374425,-1.028268551236749,0.2728140268729639,-0.2026834033445427,-0.83350854537542,0.2715645306559403,-0.3620085636434411,-1.2676064599382166,0.0495693248124479
